case_number,prompt,clip_score
203564,A bicycle replica with a clock as the front wheel.,0.3250347375869751
179765,A black Honda motorcycle parked in front of a garage.,0.2909308671951294
322141,A room with blue walls and a white sink and door.,0.3365611135959625
16977,A car that seems to be parked illegally behind a legally parked car,0.26092877984046936
106140,A large passenger airplane flying through the air.,0.2944122552871704
571635,"A bathroom with a toilet, sink, and shower.",0.291955828666687
301837,"A long empty, minimal modern skylit home kitchen.",0.30998316407203674
190236,An office cubicle with four different types of computers.,0.3276698887348175
315702,A bathroom sink with toiletries on the counter.,0.27169185876846313
331352,A small closed toilet in a cramped space.,0.31017911434173584
517069,Two women waiting at a bench next to a street.,0.3177744448184967
189634,This is an open box containing four cucumbers.,0.2904474437236786
472598,An old-fashioned green station wagon is parked on a shady driveway.,0.35172024369239807
162113,A gas stove next to a stainless steel kitchen sink and countertop.,0.29472652077674866
126657,Several motorcycles riding down the road in formation.,0.30171412229537964
285421,A black cat is inside a white toilet.,0.3348000645637512
71988,A man in a wheelchair and another sitting on a bench that is overlooking the water.,0.34969669580459595
193622,A man sits with a traditionally decorated cow,0.3508842885494232
459912,Rows of motor bikes and helmets in a city,0.3285209834575653
548498,A cute kitten is sitting in a dish on a table.,0.38454151153564453
52087,A man getting a drink from a water fountain that is a toilet.,0.33540818095207214
182417,A beautiful dessert waiting to be shared by two people,0.2906385064125061
119964,A person holding a skateboard overlooks a dead field of crops.,0.36516791582107544
230610,A bathroom with a sink and shower curtain with a map print.,0.3688480854034424
226419,A random plane in the sky flying alone,0.25332558155059814
218026,A brown and black horse in the middle of the city eating grass.,0.3524303138256073
352538,A brown purse is sitting on a green bench.,0.3208102285861969
202913,Half of a white cake with coconuts on top.,0.31546393036842346
202658,An old toilet with a hello kitty cover top. ,0.380969375371933
79472,Office space with office equipment on desk top.,0.2841629683971405
346071,Two husky's hanging out of the car windows.,0.3532928228378296
6672,The back door with a window in the kitchen.,0.2618420124053955
419074,Jet liner flying off into the distance on an overcast day,0.28746533393859863
46378,A cat eating a bird it has caught.,0.32394903898239136
382406,A woman is walking a dog in the city.,0.3156362473964691
175948,A tiny bathroom with only a toilet and a shelf.,0.3144117295742035
573223,A little girl in a public bathroom for kids.,0.33587169647216797
402514,A picture of a man playing a violin in a kitchen.,0.32845261693000793
93437,A shot of an elderly man inside a kitchen.,0.3347529470920563
407286,A trio of dogs sitting in their owner's lap in a red convertible.,0.3534582257270813
172330,A cat in between two cars in a parking lot.,0.35756707191467285
82673,A small car is parked in front of a scooter,0.2972560226917267
141172,A door with a sticker of a cat door on it,0.3553813695907593
472678,An office cubicle with multiple computers in it,0.33372366428375244
104326,A pinewood and green modern themed kitchen area.,0.33220478892326355
